type,id,name,gender,person,description
way,60184556,Rue Charles Dupret,M,,
way,60336546,Rue Émile Vandervelde,M,,
way,60336711,Boulevard Joseph Tirou,M,,
way,60582563,Place Emile Vandervelde,M,,
way,60857680,Rue Albert Darquenne,M,,
way,61013744,Rue Paul Pastur,M,,
way,61096516,Rue Émile Vandervelde,M,,
way,61232453,Rue François Léon Bruyerre,M,,
way,61259050,Rue Émile Dutrieux,M,,
way,61314383,Rue Omer Lefèvre,M,,
way,61314386,Place du Nord Michel Levie,M,,
way,61325078,Place Raymond Delvaux,M,,
way,61334768,Rue Adolphe Biarent,M,,
way,61421526,Avenue Émile Vandervelde,M,,
way,61500607,Place Jean Guyot,M,,
way,61590801,Rue Auguste Pierard,M,,
way,61590813,Rue Jules Destrée,M,,
way,61590822,Rue Emile Hermant,M,,
way,61590833,Rue Charles Degrange,M,,
way,61950838,Rue Adolphe Biarent,M,,
way,61950845,Rue Edmond Yernaux,M,,
way,61950849,Rue Henri Van Cutsem,M,,
way,61980731,Boulevard Alfred de Fontaine,M,,
way,61980746,Boulevard Joseph II,M,,
way,61980749,Boulevard Alfred de Fontaine,M,,
way,62148610,Avenue Caporal Alain Debatty,M,,
way,62149276,Avenue Caporal Alain Debatty,M,,
way,62149278,Avenue Caporal Alain Debatty,M,,
way,62149283,Avenue Caporal Alain Debatty,M,,
way,62202563,Rue Hector Denis,M,,
way,62344608,Rue Jean Jaurès,M,,
way,63337855,Rue Antoine Carnière,M,,
way,63337865,Avenue Jean Jaurès,M,,
way,63657759,Rue Jules Bordet,M,,
way,63657762,Rue Eugène Hins,M,,
way,63883137,Rue Léo Darton,M,,
way,63899108,Rue Arthur Delire,M,,
way,64147300,Rue Paul Pastur,M,,
way,64602275,Rue Emile Vandervelde,M,,
way,64602334,Rue Jean Govaerts,M,,
way,64602414,Rue Francisco Ferrer,M,,
way,64624625,Rue Alfred Tenret,M,,
way,65799646,Rue Etienne Dourlet,M,,
way,65854366,Rue Francois Reconnu,M,,
way,66215834,Rue Sans Nom,M,,
way,66215846,Rue Casimir Lambert,M,,
way,66348577,Rue Alain Duval,M,,
way,66348589,Rue Ernest Solvay,M,,
way,66348608,Rue Ernest Solvay,M,,
way,66348610,Rue Léon Dufays,M,,
way,66643531,Rue Jean Jaurès,M,,
way,66643987,Rue Terry Mouchon,M,,
way,66643999,Square Jean Dardenne,M,,
way,66644001,Rue Charles Dupret,M,,
way,67401547,Place Jules Destrée,M,,
way,67401568,Rue Georges Clémenceau,M,,
way,67401601,Avenue Caporal Alain Debatty,M,,
way,67401604,Place Jules Destrée,M,,
way,67545184,Rue Constantin Meunier,M,,
way,67557398,Quai Arthur Rimbaud,M,,
way,67573624,Rue Constant Renchon,M,,
way,67575594,Allée Winston Churchill,M,,
way,67583010,Rue Herbert Hoover,M,,
way,67585232,Rue Pierre Baily,M,,
way,67585238,Rue Jean Jaurès,M,,
way,67585239,Rue Émile Nonnon,M,,
way,67585242,Rue Charles Ernest,M,,
way,67588297,Rue Albert Goffin,M,,
way,67588301,Rue Joseph Wauters,M,,
way,67588325,Rue Émile Cliquet,M,,
way,67588342,Rue Albert Brachet,M,,
way,67588343,Rue Albert Brachet,M,,
way,67591019,Rue Florian Montagne,M,,
way,67591020,Rue Florian Montagne,M,,
way,67720812,Rue Francois Reconnu,M,,
way,68279394,Rue Edouard Falony,M,,
way,68279395,Rue Émile Maufort,M,,
way,68280746,Rue Émile Vandervelde,M,,
way,68280747,Rue Victor Lucq,M,,
way,68280749,Rue Alfred Georges,M,,
way,68280758,Rue Paul Barré,M,,
way,68280760,Rue Van Geersdaele,M,,
way,68280762,Rue Joseph Wauters,M,,
way,68280766,Rue Joseph Wauters,M,,
way,68280776,Rue Pierre Paulus,M,,
way,68281417,Rue Joseph Fourneaux,M,,
way,68281419,Rue Joseph Fourneaux,M,,
way,68281602,Rue Cornelis Debruyn,M,,
way,68281854,Rue Jules Houssière,M,,
way,68282513,Rue Louis Roisin,M,,
way,68282530,Rue Julien Lahaut,M,,
way,68283727,Rue Hans Pierre,M,,
way,68283728,Rue Jules Pannier,M,,
way,68283729,Rue Joseph Lambillotte,M,,
